Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,8,2026,66,U,true,JMC,APRIL,2026,Lecture 3
1,US,8,2026,66,U,true,PYC,JANUARY,2026,Lecture 3
2,AU,5,2016,39,U,false,JMC,FEBRUARY,2025,Lecture 11
2,AU,5,2016,39,U,false,PYC,MARCH,2016,Lecture 8
3,US,6,2026,86,F,true,JMC,OCTOBER,2026,Lecture 6
3,US,6,2026,86,F,true,PYC,MARCH,2026,Lecture 9
4,CN,3,2019,58,M,false,JMC,MARCH,2021,Lecture 5
4,CN,3,2019,58,M,false,PYC,MARCH,2022,Lecture 5
5,CN,12,2015,21,M,false,JMC,MAY,2023,Lecture 11
5,CN,12,2015,21,M,false,PYC,FEBRUARY,2026,Lecture 10
