Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,AU,3,2024,83,M,true,JMC,JUNE,2025,Lecture 5
1,AU,3,2024,83,M,true,PYC,AUGUST,2024,Lecture 5
2,CN,11,2016,77,U,false,JMC,AUGUST,2017,Lecture 1
2,CN,11,2016,77,U,false,PYC,JUNE,2022,Lecture 5
3,CN,12,2017,31,F,true,JMC,JANUARY,2023,Lecture 7
3,CN,12,2017,31,F,true,PYC,NOVEMBER,2021,Lecture 2
4,AU,3,2019,35,U,false,JMC,DECEMBER,2023,Lecture 13
4,AU,3,2019,35,U,false,PYC,DECEMBER,2025,Lecture 2
5,GB,3,2023,52,M,true,JMC,MARCH,2026,Lecture 13
5,GB,3,2023,52,M,true,PYC,DECEMBER,2026,Lecture 2
6,GB,1,2023,59,U,false,JMC,OCTOBER,2025,Lecture 13
6,GB,1,2023,59,U,false,PYC,SEPTEMBER,2024,Lecture 4
7,IN,6,2021,48,U,false,JMC,NOVEMBER,2023,Lecture 10
7,IN,6,2021,48,U,false,PYC,JULY,2021,Lecture 2
8,GB,1,2020,52,M,false,JMC,JUNE,2026,Lecture 10
8,GB,1,2020,52,M,false,PYC,OCTOBER,2020,Lecture 7
9,GB,3,2020,79,F,false,JMC,DECEMBER,2026,Lecture 8
9,GB,3,2020,79,F,false,PYC,DECEMBER,2020,Lecture 2
10,AU,5,2019,46,F,true,JMC,JULY,2021,Lecture 4
10,AU,5,2019,46,F,true,PYC,FEBRUARY,2021,Lecture 4
11,AU,10,2021,28,M,false,JMC,JULY,2021,Lecture 6
11,AU,10,2021,28,M,false,PYC,DECEMBER,2024,Lecture 5
12,GB,6,2015,83,U,true,JMC,SEPTEMBER,2023,Lecture 8
12,GB,6,2015,83,U,true,PYC,FEBRUARY,2017,Lecture 8
13,CN,9,2023,44,F,true,JMC,JULY,2024,Lecture 9
13,CN,9,2023,44,F,true,PYC,JUNE,2026,Lecture 10
14,CN,2,2015,37,M,true,JMC,MARCH,2025,Lecture 12
14,CN,2,2015,37,M,true,PYC,APRIL,2017,Lecture 9
15,IN,10,2026,38,F,false,JMC,JUNE,2026,Lecture 5
15,IN,10,2026,38,F,false,PYC,MARCH,2026,Lecture 5
16,AU,10,2026,61,F,true,JMC,OCTOBER,2026,Lecture 8
16,AU,10,2026,61,F,true,PYC,DECEMBER,2026,Lecture 11
17,AU,8,2021,20,F,false,JMC,APRIL,2026,Lecture 12
17,AU,8,2021,20,F,false,PYC,MARCH,2022,Lecture 4
18,GB,12,2015,19,U,false,JMC,JULY,2024,Lecture 12
18,GB,12,2015,19,U,false,PYC,JUNE,2020,Lecture 2
19,IN,2,2024,53,M,false,JMC,JANUARY,2024,Lecture 14
19,IN,2,2024,53,M,false,PYC,AUGUST,2026,Lecture 2
20,GB,8,2022,43,F,false,JMC,JUNE,2022,Lecture 13
20,GB,8,2022,43,F,false,PYC,DECEMBER,2024,Lecture 3
21,IN,7,2024,50,F,false,JMC,JANUARY,2026,Lecture 6
21,IN,7,2024,50,F,false,PYC,OCTOBER,2025,Lecture 8
22,GB,11,2015,42,M,true,JMC,FEBRUARY,2025,Lecture 8
22,GB,11,2015,42,M,true,PYC,OCTOBER,2016,Lecture 3
23,AU,5,2022,44,M,false,JMC,DECEMBER,2026,Lecture 6
23,AU,5,2022,44,M,false,PYC,MARCH,2026,Lecture 2
24,GB,9,2019,58,F,false,JMC,DECEMBER,2023,Lecture 13
24,GB,9,2019,58,F,false,PYC,JUNE,2025,Lecture 14
25,US,3,2023,51,F,false,JMC,JULY,2024,Lecture 11
25,US,3,2023,51,F,false,PYC,DECEMBER,2024,Lecture 6
