Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1           AU   2024   3 83MYJMC     33.33JUNE      2025Lecture 5                     
1           AU   2024   3 83MYPYC     33.33AUGUST    2024Lecture 5                     
2           CN   2016  11 77UNJMC      6.67AUGUST    2017Lecture 1                     
2           CN   2016  11 77UNPYC     33.33JUNE      2022Lecture 5                     
3           CN   2017  12 31FYJMC     46.67JANUARY   2023Lecture 7                     
3           CN   2017  12 31FYPYC     13.33NOVEMBER  2021Lecture 2                     
4           AU   2019   3 35UNJMC     86.67DECEMBER  2023Lecture 13                    
4           AU   2019   3 35UNPYC     13.33DECEMBER  2025Lecture 2                     
5           GB   2023   3 52MYJMC     86.67MARCH     2026Lecture 13                    
5           GB   2023   3 52MYPYC     13.33DECEMBER  2026Lecture 2                     
6           GB   2023   1 59UNJMC     86.67OCTOBER   2025Lecture 13                    
6           GB   2023   1 59UNPYC     26.67SEPTEMBER 2024Lecture 4                     
7           IN   2021   6 48UNJMC     66.67NOVEMBER  2023Lecture 10                    
7           IN   2021   6 48UNPYC     13.33JULY      2021Lecture 2                     
8           GB   2020   1 52MNJMC     66.67JUNE      2026Lecture 10                    
8           GB   2020   1 52MNPYC     46.67OCTOBER   2020Lecture 7                     
9           GB   2020   3 79FNJMC     53.33DECEMBER  2026Lecture 8                     
9           GB   2020   3 79FNPYC     13.33DECEMBER  2020Lecture 2                     
10          AU   2019   5 46FYJMC     26.67JULY      2021Lecture 4                     
10          AU   2019   5 46FYPYC     26.67FEBRUARY  2021Lecture 4                     
11          AU   2021  10 28MNJMC     40.00JULY      2021Lecture 6                     
11          AU   2021  10 28MNPYC     33.33DECEMBER  2024Lecture 5                     
12          GB   2015   6 83UYJMC     53.33SEPTEMBER 2023Lecture 8                     
12          GB   2015   6 83UYPYC     53.33FEBRUARY  2017Lecture 8                     
13          CN   2023   9 44FYJMC     60.00JULY      2024Lecture 9                     
13          CN   2023   9 44FYPYC     66.67JUNE      2026Lecture 10                    
14          CN   2015   2 37MYJMC     80.00MARCH     2025Lecture 12                    
14          CN   2015   2 37MYPYC     60.00APRIL     2017Lecture 9                     
15          IN   2026  10 38FNJMC     33.33JUNE      2026Lecture 5                     
15          IN   2026  10 38FNPYC     33.33MARCH     2026Lecture 5                     
16          AU   2026  10 61FYJMC     53.33OCTOBER   2026Lecture 8                     
16          AU   2026  10 61FYPYC     73.33DECEMBER  2026Lecture 11                    
17          AU   2021   8 20FNJMC     80.00APRIL     2026Lecture 12                    
17          AU   2021   8 20FNPYC     26.67MARCH     2022Lecture 4                     
18          GB   2015  12 19UNJMC     80.00JULY      2024Lecture 12                    
18          GB   2015  12 19UNPYC     13.33JUNE      2020Lecture 2                     
19          IN   2024   2 53MNJMC     93.33JANUARY   2024Lecture 14                    
19          IN   2024   2 53MNPYC     13.33AUGUST    2026Lecture 2                     
20          GB   2022   8 43FNJMC     86.67JUNE      2022Lecture 13                    
20          GB   2022   8 43FNPYC     20.00DECEMBER  2024Lecture 3                     
21          IN   2024   7 50FNJMC     40.00JANUARY   2026Lecture 6                     
21          IN   2024   7 50FNPYC     53.33OCTOBER   2025Lecture 8                     
22          GB   2015  11 42MYJMC     53.33FEBRUARY  2025Lecture 8                     
22          GB   2015  11 42MYPYC     20.00OCTOBER   2016Lecture 3                     
23          AU   2022   5 44MNJMC     40.00DECEMBER  2026Lecture 6                     
23          AU   2022   5 44MNPYC     13.33MARCH     2026Lecture 2                     
24          GB   2019   9 58FNJMC     86.67DECEMBER  2023Lecture 13                    
24          GB   2019   9 58FNPYC     93.33JUNE      2025Lecture 14                    
25          US   2023   3 51FNJMC     73.33JULY      2024Lecture 11                    
25          US   2023   3 51FNPYC     40.00DECEMBER  2024Lecture 6                     
